en pojke;a boy
pojkar;boys
en flicka;a girl
flickor;girls
en kvinna;a woman
kvinnor;women
en man;a man
män;men
och;and
vatten;water
bröd;bread
ett äpple;a apple
pojkar;boys
en tindning;a newspaper
läser;reading
ris;rice
mjölk;milk
en smörgås;a sandwich
ett barn;a child
spela;play
hjälpa;help
mannen;the man
kvinnan;the woman
pojken;the boy
flickan;the girl
pojkar;boys
flickor;girls
läser;read
en tidning;newspaper
ett barn;a child
barnet;the child
en smorgas;a sandwich
ett brev;a letter
en meny;a menu
en bok;a book
tack så mycket;thank you very much
hej då;goodbye
ja och nej;yes and no
god morgon;good morning
välkommen;welcome
ursäkta;I'm sorry
god natt;good night
nej, snälla;no, please
varsågod;you're welcome
ja, hålla;yes, hello
jag tallar inte svenska;I don't speak swedish
jag tycker om en flicka;I like a girl
Jag älskar en kvinna
mannen talar engelska;the man speaks english
hon talar inte engelska;she doesn't speak english
en fisk;a fish
ett vin;a wine
en apelsin;an orange
kaffe;coffee
ett ägg;an egg
en dryck;drink
middag;dinner
kyckling;chicken
har;has
en ost;a cheese
socker;shugar
pasta;pasta
en frukt;a fruit
en frukost;a breakfast
mat;food
en citron;a lemon
salt;salt
en soppa;a soup
en jordgubbe;a strawberry
nötkott;beef
en öl;a beer
en tomat;a tomato
peppar;pepper
ett kött;a meet
juice;juice
vegetarian;vegetarian
te;tea
en måltid;a meal
olja;oil
flaskkött;pork
glass;ice cream
en tallrik;a plate
ett glas;a glass
en restaurang;a restaurant
en kopp;a cup
en gaffel;a fork
en kniv;a knife
en sked;a spoon
äpplet;the apple
en kock;a cook
koeken;the cook
